Temperature,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Label
16.400000000000002,7,8.9,291,1,471,0.365,61.05,0.15,1012,1.0,40,6.800000000000001,308.0299936623501
18.6,2,9.5,456,0,749,0.366,55.57,0.16,1010,1.3,301,1.2000000000000002,398.4745558894844
18.3,0,11.4,906,0,924,0.361,63.91,0.16,1015,1.5,25,1.3,882.5473848265016
17.1,0,13.9,328,0,101,0.358,81.46000000000001,0.16,1015,2.5,39,4.4,297.30608941350795
17.900000000000002,0,15.3,541,0,272,0.346,84.82000000000001,0.15,1014,2.1,226,3.8,548.5834474943616
19.1,2,15.0,216,0,322,0.345,77.21000000000001,0.15,1014,2.1,233,3.8,147.1115610653851
20.700000000000003,1,15.8,256,0,99,0.346,73.71000000000001,0.15,1013,2.9000000000000004,221,1.9,295.710220189883
23.8,0,16.7,593,0,448,0.325,64.43,0.15,1013,3.4000000000000004,337,0.9,609.4482546927676
22.9,7,17.7,220,0,206,0.331,72.72,0.15,1013,3.4000000000000004,159,0.9,63.5413108883273
24.4,0,17.900000000000002,702,0,754,0.327,67.13,0.15,1012,3.6,90,1.2000000000000002,746.6118646704049
23.6,1,17.8,636,0,615,0.326,70.17,0.15,1011,3.7,31,3.0,646.4872984328192
20.3,4,15.8,2,0,161,0.352,75.32000000000001,0.15,1009,3.0,328,3.0,10.655720947672364
22.0,2,15.0,239,0,646,0.344,64.37,0.14,1012,2.2,43,5.2,319.1711427052481
21.3,3,14.6,192,3,620,0.352,65.46000000000001,0.14,1007,2.9000000000000004,181,2.0,254.61074243794104
21.3,4,14.4,10,0,229,0.353,64.67,0.14,1007,2.8000000000000003,16,2.1,36.39931009044432
23.3,3,17.0,170,0,517,0.347,67.52,0.14,1011,2.3000000000000003,9,2.8000000000000003,211.4916879649835
24.1,0,16.6,869,0,968,0.347,62.870000000000005,0.14,1011,2.3000000000000003,5,2.6,845.7938052119605
26.1,3,16.5,351,0,644,0.328,55.42,0.14,1010,3.0,338,0.8,285.84614102811486
26.3,0,18.2,680,0,769,0.329,61.22,0.14,1012,3.3000000000000003,349,1.6,740.9985465607612
